word,key,trans,hint,kana,romaji,wapuro,pos,tone,textbook
スミス,スミス,史密斯,,スミス,sumisu,sumisu,"PROPER",1,BIAORI-01-01-0039,,スミス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジョンソン,ジョンソン,约翰逊,,ジョンソン,jonson,jonnsonn,"PROPER",1,BIAORI-01-01-0040,,ジョンソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,中国,中国,,ちゅうごく,chūgoku,chuugoku,"PROPER",1,BIAORI-01-01-0041,,中,ちゅう,国,ごく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京大学,東京大学,东京大学,,とうきょうだいがく,tōkyōdaigaku,toukyoudaigaku,"PROPER",5,BIAORI-01-01-0042,,東,とう,京,きょう,大,だい,学,がく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京大学,北京大学,北京大学,,ペキンだいがく,pekindaigaku,pekinndaigaku,"PROPER",4,BIAORI-01-01-0043,,北,ペ,京,キン,大,だい,学,がく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC企画,JC企画,JC策划公司,,ジェーシーきかく,JCkikaku,JCkikaku,"PROPER",5,BIAORI-01-01-0044,,J,ジェー,C,シー,企,き,画,かく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京旅行社,北京旅行社,北京旅行社,,ペキンりょこうしゃ,pekinryokōsha,pekinnryokousha,"PROPER",5,BIAORI-01-01-0045,,北,ペ,京,キン,旅,りょ,行,こう,社,しゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日中商事,日中商事,日中商社,,にっちゅうしょうじ,nichinakashōji,nitchuushouji,"PROPER",5,BIAORI-01-01-0046,,日,にっ,中,ちゅう,商,しょう,事,じ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こんにちは,こんにちは,你好,,こんにちは,konnichiwa,konnnichiha,"IDIOM",5,BIAORI-01-01-0047,,こんにちは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
すみません,すみません,对不起；请问,,すみません,sumimasen,sumimasenn,"IDIOM",4,BIAORI-01-01-0048,,すみません,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうぞ,どうぞ,请,,どうぞ,dōzo,douzo,"IDIOM",1,BIAORI-01-01-0049,,どうぞ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
よろしくお願いします,よろしくお願いします,请多关照,,よろしくおねがいします,yoroshikuonegaishimasu,yoroshikuonegaishimasu,"IDIOM",null,BIAORI-01-01-0050,,よろしくお,願,ねが,いします,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はじめまして,はじめまして,初次见面,,はじめまして,hajimemashite,hajimemashite,"IDIOM",4,BIAORI-01-01-0051,,はじめまして,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こちらこそ,こちらこそ,我才要（请您~）,,こちらこそ,kochirakoso,kochirakoso,"IDIOM",4,BIAORI-01-01-0052,,こちらこそ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
そうです,そうです,是（这样）,,そうです,sōdesu,soudesu,"IDIOM",1,BIAORI-01-01-0053,,そうです,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちがいます,ちがいます,不是,,ちがいます,chigaimasu,chigaimasu,"IDIOM",4,BIAORI-01-01-0054,,ちがいます,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分かりません,分かりません,不知道,,わかりません,wakarimasen,wakarimasenn,"IDIOM",5,BIAORI-01-01-0055,,分,わ,かりません,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうもすみません,どうもすみません,实在对不起,,どうもすみません,dōmosumimasen,doumosumimasenn,"IDIOM",[1|7],BIAORI-01-01-0056,,どうもすみません,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さん,さん,（~桑）,~桑,さん,san,sann,"IDIOM",null,BIAORI-01-01-0057,,さん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちゃん,ちゃん,（~酱）,~酱,ちゃん,chan,chann,"IDIOM",null,BIAORI-01-01-0058,,ちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
君,君,（~君）,~君,くん,kimi,kunn,"IDIOM",null,BIAORI-01-01-0059,,君,くん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国,国,国名,duplicate,くに,kuni,kuni,"NOUN",null,BIAORI-01-01-EXT-0001,,国,くに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,中国,中国,duplicate,ちゅうごく,chūgoku,chuugoku,"PROPER",null,BIAORI-01-01-EXT-0002,,中,ちゅう,国,ごく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本,日本,日本,duplicate,にほん,nippon,nihonn,"PROPER",null,BIAORI-01-01-EXT-0003,,日,に,本,ほん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカ,アメリカ,美国,duplicate,アメリカ,amerika,amerika,"PROPER",null,BIAORI-01-01-EXT-0004,WARNING,アメリカ,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イギリス,イギリス,英国,,イギリス,igirisu,igirisu,"PROPER",null,BIAORI-01-01-EXT-0005,WARNING,イギリス,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イタリア,イタリア,意大利,,イタリア,itaria,itaria,"PROPER",null,BIAORI-01-01-EXT-0006,WARNING,イタリア,Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インド,インド,印度,,インド,indo,inndo,"PROPER",null,BIAORI-01-01-EXT-0007,WARNING,インド,印度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オーストラリア,オーストラリア,澳大利亚；澳洲,,オーストラリア,ōsutoraria,o-sutoraria,"PROPER",null,BIAORI-01-01-EXT-0008,WARNING,オーストラリア,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓国,韓国,韩国,duplicate,かんこく,kankoku,kannkoku,"PROPER",null,BIAORI-01-01-EXT-0009,,韓,かん,国,こく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スペイン,スペイン,西班牙,,スペイン,supein,supeinn,"PROPER",null,BIAORI-01-01-EXT-0010,WARNING,スペイン,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイ,タイ,泰国,,タイ,tai,tai,"PROPER",null,BIAORI-01-01-EXT-0011,WARNING,タイ,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
